FILE_NAME,STATES,INPUTS,LSTAR_rndWords_MQ_SYM,LSTAR_rndWords_MQ_RST,LSTAR_rndWords_EQ_SYM,LSTAR_rndWords_EQ_RST,LSTAR_rndWords_TOTAL_SYM,LSTAR_rndWords_TOTAL_RST,LSTAR_rndWords_EQs,LSTAR_rndWalk_MQ_SYM,LSTAR_rndWalk_MQ_RST,LSTAR_rndWalk_EQ_SYM,LSTAR_rndWalk_EQ_RST,LSTAR_rndWalk_TOTAL_SYM,LSTAR_rndWalk_TOTAL_RST,LSTAR_rndWalk_EQs,LSTAR_wp_MQ_SYM,LSTAR_wp_MQ_RST,LSTAR_wp_EQ_SYM,LSTAR_wp_EQ_RST,LSTAR_wp_TOTAL_SYM,LSTAR_wp_TOTAL_RST,LSTAR_wp_EQs,LIP_wp_rndWalk_MQ_SYM,LIP_wp_rndWalk_MQ_RST,LIP_wp_rndWalk_EQ_SYM,LIP_wp_rndWalk_EQ_RST,LIP_wp_rndWalk_TOTAL_SYM,LIP_wp_rndWalk_TOTAL_RST,LIP_wp_rndWalk_EQs,LIP_wp_rndWalk_COMPONENTS,LIP_wp_rndWalk_ROUNDS,LIP_wp_rndWords_MQ_SYM,LIP_wp_rndWords_MQ_RST,LIP_wp_rndWords_EQ_SYM,LIP_wp_rndWords_EQ_RST,LIP_wp_rndWords_TOTAL_SYM,LIP_wp_rndWords_TOTAL_RST,LIP_wp_rndWords_EQs,LIP_wp_rndWords_COMPONENTS,LIP_wp_rndWords_ROUNDS,LIP_rndWalk_rndWalk_MQ_SYM,LIP_rndWalk_rndWalk_MQ_RST,LIP_rndWalk_rndWalk_EQ_SYM,LIP_rndWalk_rndWalk_EQ_RST,LIP_rndWalk_rndWalk_TOTAL_SYM,LIP_rndWalk_rndWalk_TOTAL_RST,LIP_rndWalk_rndWalk_EQs,LIP_rndWalk_rndWalk_COMPONENTS,LIP_rndWalk_rndWalk_ROUNDS,LIP_rndWords_rndWords_MQ_SYM,LIP_rndWords_rndWords_MQ_RST,LIP_rndWords_rndWords_EQ_SYM,LIP_rndWords_rndWords_EQ_RST,LIP_rndWords_rndWords_TOTAL_SYM,LIP_rndWords_rndWords_TOTAL_RST,LIP_rndWords_rndWords_EQs,LIP_rndWords_rndWords_COMPONENTS,LIP_rndWords_rndWords_ROUNDS,LIP_wp_wp_MQ_SYM,LIP_wp_wp_MQ_RST,LIP_wp_wp_EQ_SYM,LIP_wp_wp_EQ_RST,LIP_wp_wp_TOTAL_SYM,LIP_wp_wp_TOTAL_RST,LIP_wp_wp_EQs,LIP_wp_wp_COMPONENTS,LIP_wp_wp_ROUNDS,CACHE,
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_2.txt","4","4",,,,,,,,,,,,,,,,,,,,,,"52","23","4088","581","4140","604","8","2","3","52","23","22914","718","22966","741","8","2","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_3.txt","4","4",,,,,,,,,,,,,,,,,,,,,,"44","20","3756","573","3800","593","8","2","3","44","20","22913","717","22957","737","8","2","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_11.txt","4","4",,,,,,,,,,,,,,,,,,,,,,"49","22","3990","569","4039","591","8","2","3","49","22","22896","712","22945","734","8","2","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_13.txt","4","4",,,,,,,,,,,,,,,,,,,,,,"44","20","4031","587","4075","607","8","2","3","44","20","22941","727","22985","747","8","2","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_14.txt","4","4",,,,,,,,,,,,,,,,,,,,,,"52","23","3893","568","3945","591","8","2","3","52","23","22894","711","22946","734","8","2","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_18.txt","4","4",,,,,,,,,,,,,,,,,,,,,,"44","20","4091","589","4135","609","8","2","3","44","20","22937","725","22981","745","8","2","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_1.txt","6","5",,,,,,,,,,,,,,,,,,,,,,"105","43","10121","1607","10226","1650","11","2","4","105","43","38153","1799","38258","1842","11","2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_4.txt","6","5",,,,,,,,,,,,,,,,,,,,,,"105","43","9702","1607","9807","1650","11","2","4","105","43","38150","1802","38255","1845","11","2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_6.txt","6","5",,,,,,,,,,,,,,,,,,,,,,"102","42","12348","2145","12450","2187","11","2","4","102","42","40798","2318","40900","2360","11","2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_19.txt","6","5",,,,,,,,,,,,,,,,,,,,,,"108","44","12537","2143","12645","2187","11","2","4","108","44","40792","2316","40900","2360","11","2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_12.txt","8","8",,,,,,,,,,,,,,,,,,,,,,"474","165","57415","10093","57889","10258","20","2","7","474","165","114119","10440","114593","10605","20","2","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_8.txt","8","5",,,,,,,,,,,,,,,,,,,,,,"145","54","15830","2614","15975","2668","11","2","4","145","54","44134","2793","44279","2847","11","2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_10.txt","8","6",,,,,,,,,,,,,,,,,,,,,,"78","35","30917","5367","30995","5402","12","3","4","78","35","59299","5578","59377","5613","12","3","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_14.txt","8","5",,,,,,,,,,,,,,,,,,,,,,"141","52","18484","3095","18625","3147","11","2","4","141","52","46724","3270","46865","3322","11","2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_16.txt","8","6",,,,,,,,,,,,,,,,,,,,,,"89","38","30740","5366","30829","5404","12","3","4","89","38","59328","5584","59417","5622","12","3","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_17.txt","8","6",,,,,,,,,,,,,,,,,,,,,,"89","38","30896","5371","30985","5409","12","3","4","89","38","59327","5585","59416","5623","12","3","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_10.txt","12","9",,,,,,,,,,,,,,,,,,,,,,"547","193","119224","20768","119771","20961","23","2","8","547","193","185479","21159","186026","21352","23","2","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_5.txt","12","7",,,,,,,,,,,,,,,,,,,,,,"139","58","73071","12595","73210","12653","15","3","5","139","58","110860","12855","110999","12913","15","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_6.txt","12","7",,,,,,,,,,,,,,,,,,,,,,"134","56","89474","15526","89608","15582","15","3","5","134","56","127290","15762","127424","15818","15","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_15.txt","12","7",,,,,,,,,,,,,,,,,,,,,,"136","56","89551","15517","89687","15573","15","3","5","136","56","127283","15761","127419","15817","15","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_19.txt","12","7",,,,,,,,,,,,,,,,,,,,,,"142","59","89723","15513","89865","15572","15","3","5","142","59","127243","15747","127385","15806","15","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_17.txt","16","11",,,,,,,,,,,,,,,,,,,,,,"3376","674","590542","77873","593918","78547","29","2","10","3376","674","675154","78138","678530","78812","29","2","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_2.txt","16","10",,,,,,,,,,,,,,,,,,,,,,"530","188","326873","54519","327403","54707","24","3","8","530","188","393195","54939","393725","55127","24","3","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_3.txt","16","10",,,,,,,,,,,,,,,,,,,,,,"533","189","350504","58492","351037","58681","24","3","8","533","189","416398","58841","416931","59030","24","3","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_1.txt","16","7",,,,,,,,,,,,,,,,,,,,,,"173","65","102266","16820","102439","16885","15","3","5","173","65","140124","17084","140297","17149","15","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_11.txt","16","8",,,,,,,,,,,,,,,,,,,,,,"104","46","199744","33089","199848","33135","16","4","5","104","46","237878","33371","237982","33417","16","4","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_19.txt","16","8",,,,,,,,,,,,,,,,,,,,,,"120","51","200075","33168","200195","33219","16","4","5","120","51","238199","33459","238319","33510","16","4","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_5.txt","18","10",,,,,,,,,,,,,,,,,,,,,,"293","117","434064","74424","434357","74541","24","3","8","293","117","500273","74785","500566","74902","24","3","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_8.txt","18","10",,,,,,,,,,,,,,,,,,,,,,"305","120","433787","74276","434092","74396","24","3","8","305","120","499745","74646","500050","74766","24","3","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_18.txt","18","8",,,,,,,,,,,,,,,,,,,,,,"190","77","241010","41005","241200","41082","18","3","6","190","77","288214","41282","288404","41359","18","3","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_3.txt","24","8",,,,,,,,,,,,,,,,,,,,,,"237","89","323303","51976","323540","52065","18","3","6","237","89","370757","52257","370994","52346","18","3","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_6.txt","24","9",,,,,,,,,,,,,,,,,,,,,,"166","69","512256","82845","512422","82914","19","4","6","166","69","559643","83156","559809","83225","19","4","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_9.txt","26","13",,,,,,,,,,,,,,,,,,,,,,"2083736","78202","2052319","262784","4136055","340986","90","1","34","2955855","57458","2080386","254020","5036241","311478","40","2","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_15.txt","26","13",,,,,,,,,,,,,,,,,,,,,,"3804133","95709","2287369","289276","6091502","384985","88","1","33","2955906","57496","2316100","280697","5272006","338193","40","2","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_20.txt","27","11",,,,,,,,,,,,,,,,,,,,,,"393","152","1108201","183501","1108594","183653","27","3","9","393","152","1183401","183871","1183794","184023","27","3","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_1.txt","28","12",,,,,,,,,,,,,,,,,,,,,,"2846","629","1472224","191514","1475070","192143","32","2","11","2846","629","1566248","191928","1569094","192557","32","2","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_7.txt","32","13",,,,,,,,,,,,,,,,,,,,,,"3478","703","3306472","391987","3309950","392690","33","3","11","3478","703","3400384","392367","3403862","393070","33","3","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_11.txt","32","13",,,,,,,,,,,,,,,,,,,,,,"4398","820","2836242","338402","2840640","339222","33","3","11","4398","820","2930563","338867","2934961","339687","33","3","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_7.txt","32","10",,,,,,,,,,,,,,,,,,,,,,"147","63","1046149","160945","1046296","161008","20","5","6","147","63","1093691","161304","1093838","161367","20","5","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_11.txt","32","10",,,,,,,,,,,,,,,,,,,,,,"153","65","1045508","160784","1045661","160849","20","5","6","153","65","1093051","161145","1093204","161210","20","5","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_9.txt","36","12",,,,,,,,,,,,,,,,,,,,,,"367","143","2129213","336134","2129580","336277","28","4","9","367","143","2204629","336555","2204996","336698","28","4","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_13.txt","36","12",,,,,,,,,,,,,,,,,,,,,,"360","142","2004626","317129","2004986","317271","28","4","9","360","142","2080094","317580","2080454","317722","28","4","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_5.txt","36","10",,,,,,,,,,,,,,,,,,,,,,"225","91","1238545","195020","1238770","195111","22","4","7","225","91","1295224","195341","1295449","195432","22","4","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_7.txt","39","14",,,,,,,,,,,,,,,,,,,,,,"1647157","75124","4302934","517405","5950091","592529","92","1","35","3196845","62018","4408324","517666","7605169","579684","44","2","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_6.txt","48","11",,,,,,,,,,,,,,,,,,,,,,"203","85","2435247","364785","2435450","364870","23","5","7","203","85","2492001","365173","2492204","365258","23","5","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_13.txt","48","12",,,,,,,,,,,,,,,,,,,,,,"915","280","2643434","377287","2644349","377567","28","4","9","915","280","2718885","377713","2719800","377993","28","4","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_18.txt","48","11",,,,,,,,,,,,,,,,,,,,,,"245","96","2137296","320623","2137541","320719","23","5","7","245","96","2194113","321029","2194358","321125","23","5","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_8.txt","52","12",,,,,,,,,,,,,,,,,,,,,,"14428","2644","3374892","424483","3389320","427127","32","2","11","14428","2644","3468295","424721","3482723","427365","32","2","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_20.txt","52","13",,,,,,,,,,,,,,,,,,,,,,"5381","1099","4600697","582668","4606078","583767","33","3","11","5381","1099","4694549","582971","4699930","584070","33","3","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_2.txt","56","15",,,,,,,,,,,,,,,,,,,,,,"2891","647","8976603","1090885","8979494","1091532","37","4","12","2891","647","9080093","1091355","9082984","1092002","37","4","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_4.txt","56","15",,,,,,,,,,,,,,,,,,,,,,"2889","641","7886911","980751","7889800","981392","37","4","12","2889","641","7990440","981203","7993329","981844","37","4","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_9.txt","56","15",,,,,,,,,,,,,,,,,,,,,,"2882","640","8190282","1014843","8193164","1015483","37","4","12","2882","640","8294045","1015373","8296927","1016013","37","4","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_4.txt","64","17",,,,,,,,,,,,,,,,,,,,,,"4133","884","15737699","1803538","15741832","1804422","45","3","15","4133","884","15868729","1804006","15872862","1804890","45","3","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_18.txt","64","15",,,,,,,,,,,,,,,,,,,,,,"3647","737","9799945","1134261","9803592","1134998","37","4","12","3647","737","9903609","1134787","9907256","1135524","37","4","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_9.txt","64","14",,,,,,,,,,,,,,,,,,,,,,"626","225","6553309","940549","6553935","940774","32","5","10","626","225","6638507","941110","6639133","941335","32","5","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_1.txt","64","10",,,,,,,,,,,,,,,,,,,,,,"317","114","2171882","310245","2172199","310359","22","4","7","317","114","2228666","310615","2228983","310729","22","4","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_6.txt","64","12",,,,,,,,,,,,,,,,,,,,,,"189","80","4653708","665017","4653897","665097","24","6","7","189","80","4710544","665442","4710733","665522","24","6","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_20.txt","72","13",,,,,,,,,,,,,,,,,,,,,,"975","302","6406085","899081","6407060","899383","31","4","10","975","302","6490607","899468","6491582","899770","31","4","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_12.txt","78","16",,,,,,,,,,,,,,,,,,,,,,"7811934","223226","15770108","1851026","23582042","2074252","206","2","86","2736206","53392","15863237","1850858","18599443","1904250","46","3","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_13.txt","84","16",,,,,,,,,,,,,,,,,,,,,,"2969","674","18821142","2228522","18824111","2229196","40","4","13","2969","674","18934068","2229050","18937037","2229724","40","4","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_16.txt","96","15",,,,,,,,,,,,,,,,,,,,,,"2561584","105587","15920356","1870524","18481940","1976111","82","1","31","2124614","43197","15989818","1865856","18114432","1909053","42","3","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_16.txt","96","15",,,,,,,,,,,,,,,,,,,,,,"711","250","15646878","2179303","15647589","2179553","35","5","11","711","250","15740949","2179791","15741660","2180041","35","5","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/3wise_20.txt","112","13",,,,,,,,,,,,,,,,,,,,,,"52985","7017","15934925","1562098","15987910","1569115","35","2","12","52985","7017","16037914","1562328","16090899","1569345","35","2","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_2.txt","112","16",,,,,,,,,,,,,,,,,,,,,,"7555","1488","24208489","2783881","24216044","2785369","40","4","13","7555","1488","24321560","2784439","24329115","2785927","40","4","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_8.txt","112","16",,,,,,,,,,,,,,,,,,,,,,"7471","1466","24060660","2806296","24068131","2807762","40","4","13","7471","1466","24173118","2806703","24180589","2808169","40","4","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_16.txt","117","19",,,,,,,,,,,,,,,,,,,,,,"883547","46502","49426800","5584728","50310347","5631230","71","2","24","2204274","43539","49573001","5585144","51777275","5628683","55","3","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_1.txt","120","15",,,,,,,,,,,,,,,,,,,,,,"6722","1279","22071882","2528063","22078604","2529342","37","4","12","6722","1279","22175109","2528492","22181831","2529771","37","4","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_1.txt","128","13",,,,,,,,,,,,,,,,,,,,,,"311","114","14392877","1919215","14393188","1919329","27","6","8","311","114","14459159","1919653","14459470","1919767","27","6","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_11.txt","128","14",,,,,,,,,,,,,,,,,,,,,,"263","103","18458583","2462098","18458846","2462201","28","7","8","263","103","18525073","2462603","18525336","2462706","28","7","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_7.txt","144","16",,,,,,,,,,,,,,,,,,,,,,"5257204","243886","29238228","3321807","34495432","3565693","234","1","98","3774177","73928","29150498","3298991","32924675","3372919","50","3","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_10.txt","162","16",,,,,,,,,,,,,,,,,,,,,,"512","199","37102494","5144376","37103006","5144575","38","5","12","512","199","37206450","5144913","37206962","5145112","38","5","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_17.txt","168","18",,,,,,,,,,,,,,,,,,,,,,"3043","694","53844065","6121890","53847108","6122584","44","5","14","3043","694","53966869","6122544","53969912","6123238","44","5","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_10.txt","192","17",,,,,,,,,,,,,,,,,,,,,,"684","248","54461558","7126072","54462242","7126320","39","6","12","684","248","54565311","7126670","54565995","7126918","39","6","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_14.txt","192","15",,,,,,,,,,,,,,,,,,,,,,"294","116","38266317","4985150","38266611","4985266","31","7","9","294","116","38342217","4985666","38342511","4985782","31","7","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_10.txt","216","17",,,,,,,,,,,,,,,,,,,,,,"489","189","58718766","7827736","58719255","7827925","39","6","12","489","189","58822930","7828343","58823419","7828532","39","6","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_17.txt","224","15",,,,,,,,,,,,,,,,,,,,,,"62116","8034","54061294","5115277","54123410","5123311","39","3","13","62116","8034","54173309","5115577","54235425","5123611","39","3","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_17.txt","224","19",,,,,,,,,,,,,,,,,,,,,,"3007","686","101915363","11204885","101918370","11205571","45","6","14","3007","686","102038224","11205553","102041231","11206239","45","6","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_4.txt","256","18",,,,,,,,,,,,,,,,,,,,,,"764","268","98834319","12326681","98835083","12326949","40","7","12","764","268","98938001","12327276","98938765","12327544","40","7","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/7wise_6.txt","256","18",,,,,,,,,,,,,,,,,,,,,,"703","253","93492648","11738494","93493351","11738747","40","7","12","703","253","93596286","11739124","93596989","11739377","40","7","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_1.txt","256","14",,,,,,,,,,,,,,,,,,,,,,"412","147","42880106","5359044","42880518","5359191","30","6","9","412","147","42955650","5359525","42956062","5359672","30","6","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_12.txt","288","20",,,,,,,,,,,,,,,,,,,,,,"9557","1787","150872284","16275711","150881841","16277498","52","4","17","9557","1787","151022234","16276238","151031791","16278025","52","4","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_3.txt","288","20",,,,,,,,,,,,,,,,,,,,,,"978","351","142270301","18199521","142271279","18199872","48","6","15","978","351","142402353","18200226","142403331","18200577","48","6","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_5.txt","312","18",,,,,,,,,,,,,,,,,,,,,,"5610","1174","127251622","13958505","127257232","13959679","44","5","14","5610","1174","127373578","13959122","127379188","13960296","44","5","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_20.txt","360","17",,,,,,,,,,,,,,,,,,,,,,"8460","1551","118601156","12505342","118609616","12506893","43","4","14","8460","1551","118723007","12505861","118731467","12507412","43","4","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_2.txt","384","18",,,,,,,,,,,,,,,,,,,,,,"10617774","443488","156615495","16261309","167233269","16704797","254","1","107","5150148","104820","156711078","16260795","161861226","16365615","55","4","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/6wise_12.txt","384","20",,,,,,,,,,,,,,,,,,,,,,"3716","780","217706377","22502230","217710093","22503010","48","6","15","3716","780","217838302","22502859","217842018","22503639","48","6","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/8wise_15.txt","384","17",,,,,,,,,,,,,,,,,,,,,,"1189","371","114184050","13400426","114185239","13400797","39","6","12","1189","371","114287865","13401019","114289054","13401390","39","6","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_19.txt","432","21",,,,,,,,,,,,,,,,,,,,,,"975","354","266503905","33466884","266504880","33467238","51","6","16","975","354","266645503","33467680","266646478","33468034","51","6","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",
